gene_ID	PC_ID	genome	KO_ID	KO_annotation	COG_ID	COG_annotation	rRNA
434	PC_00000990	genome_2	K21147	moeZR; sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]	COG0476!!!COG0607	Molybdopterin or thiamine biosynthesis adenylyltransferase!!!Rhodanese-related sulfurtransferase	FALSE
435	PC_00000548	genome_2	K19221	cobA; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	COG2109!!!COG2109	ATP:corrinoid adenosyltransferase!!!ATP:corrinoid adenosyltransferase	FALSE
436	PC_00001093	genome_2	K06864	uncharacterized protein	COG1606	ATP-utilizing enzyme, PP-loop superfamily	FALSE
437	PC_00002786	genome_2	K01580	E4.1.1.15; glutamate decarboxylase [EC:4.1.1.15]	COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	FALSE
438	PC_00000293	genome_2	K01611	speD; S-adenosylmethionine decarboxylase [EC:4.1.1.50]	COG1586	S-adenosylmethionine decarboxylase or arginine decarboxylase	FALSE
439	PC_00000316	genome_2	K03629	recF; DNA replication and repair protein RecF	COG1195	Recombinational DNA repair ATPase RecF	FALSE
440	PC_00001239	genome_2	NA	NA	COG0454	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)	FALSE
441	PC_00001083	genome_2	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	COG2352	Phosphoenolpyruvate carboxylase	FALSE
442	PC_00001059	genome_2	NA	NA	COG2170	Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily	FALSE
443	PC_00000885	genome_2	K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]	COG0147	Anthranilate/para-aminobenzoate synthases component I	FALSE
444	PC_00001483	genome_2	K02692	psaD; photosystem I subunit II	NA	NA	FALSE
445	PC_00002186	genome_2	NA	NA	COG2205	K+-sensing histidine kinase KdpD	FALSE
446	PC_00000678	genome_2	K05837	rodA; rod shape determining protein RodA	COG0772	Bacterial cell division protein FtsW, lipid II flippase	FALSE
447	PC_00000925	genome_2	K03593	mrp; ATP-binding protein involved in chromosome partitioning	COG0489!!!COG2151	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster!!!Metal-sulfur cluster biosynthetic enzyme	FALSE
448	PC_00001132	genome_2	K00228	CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]	COG0408	Coproporphyrinogen III oxidase	FALSE
449	PC_00001735	genome_2	NA	NA	NA	NA	FALSE
450	PC_00001094	genome_2	NA	NA	NA	NA	FALSE
451	PC_00013849	genome_2	NA	NA	NA	NA	FALSE
452	PC_00010671	genome_2	NA	NA	NA	NA	FALSE
453	PC_00000601	genome_2	K03684	rnd; ribonuclease D [EC:3.1.13.5]	COG0349	Ribonuclease D	FALSE
454	PC_00002098	genome_2	NA	NA	NA	NA	FALSE
455	PC_00000864	genome_2	NA	NA	COG4370	Uncharacterized protein	FALSE
456	PC_00002725	genome_2	K10716	kch; voltage-gated potassium channel	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	FALSE
457	PC_00003406	genome_2	NA	NA	NA	NA	FALSE
458	PC_00001125	genome_2	K05275	E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]	COG0667	Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)	FALSE
459	PC_00000470	genome_2	NA	NA	NA	NA	FALSE
460	PC_00001068	genome_2	K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	FALSE
461	PC_00000022	genome_2	K03642	rlpA; rare lipoprotein A	COG0797	Rare lipoprotein A, peptidoglycan hydrolase digesting naked glycans, contains C-terminal SPOR domain	FALSE
462	PC_00000780	genome_2	K13799	panC-cmk; pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]	COG0283!!!COG0414	Cytidylate kinase!!!Panthothenate synthetase	FALSE
463	PC_00000849	genome_2	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	COG0394	Protein-tyrosine-phosphatase	FALSE
464	PC_00002026	genome_2	K02289	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	COG1413	HEAT repeat	FALSE
465	PC_00001917	genome_2	K02288	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	COG1413	HEAT repeat	FALSE
466	PC_00001564	genome_2	NA	NA	NA	NA	FALSE
467	PC_00000089	genome_2	K02284	cpcA; phycocyanin alpha chain	NA	NA	FALSE
468	PC_00000059	genome_2	K02285	cpcB; phycocyanin beta chain	NA	NA	FALSE
469	PC_00001391	genome_2	K05370	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	NA	NA	FALSE
470	PC_00001319	genome_2	K05369	pebA; 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]	NA	NA	FALSE
471	PC_00001315	genome_2	NA	NA	NA	NA	FALSE
472	PC_00001177	genome_2	NA	NA	NA	NA	FALSE
473	PC_00000018	genome_2	K05377	cpeB; phycoerythrin beta chain	NA	NA	FALSE
474	PC_00001170	genome_2	K05376	cpeA; phycoerythrin alpha chain	NA	NA	FALSE
475	PC_00002246	genome_2	K05384	cpeU; bilin biosynthesis protein	COG1413	HEAT repeat	FALSE
476	PC_00001792	genome_2	NA	NA	NA	NA	FALSE
477	PC_00009453	genome_2	NA	NA	NA	NA	FALSE
478	PC_00005513	genome_2	K05385	cpeY; bilin biosynthesis protein	COG1413	HEAT repeat	FALSE
479	PC_00002241	genome_2	K05386	cpeZ; bilin biosynthesis protein	COG1413	HEAT repeat	FALSE
480	PC_00001697	genome_2	K05384	cpeU; bilin biosynthesis protein	COG1413	HEAT repeat	FALSE
481	PC_00001695	genome_2	K05378	cpeC; phycoerythrin-associated linker protein	COG0237	Dephospho-CoA kinase	FALSE
482	PC_00001410	genome_2	K05376	cpeA; phycoerythrin alpha chain	NA	NA	FALSE
483	PC_00000018	genome_2	K05377	cpeB; phycoerythrin beta chain	NA	NA	FALSE
484	PC_00001797	genome_2	NA	NA	COG1413!!!COG1413	HEAT repeat!!!HEAT repeat	FALSE
485	PC_00002081	genome_2	NA	NA	NA	NA	FALSE
486	PC_00001661	genome_2	NA	NA	NA	NA	FALSE
487	PC_00001815	genome_2	K05381	cpeR; phycoerythrin-associated linker protein	NA	NA	FALSE
488	PC_00001322	genome_2	K05383	cpeT; CpeT protein	NA	NA	FALSE
489	PC_00001231	genome_2	K05382	cpeS; phycoerythrin-associated linker protein	NA	NA	FALSE
490	PC_00001375	genome_2	K05380	cpeE; phycoerythrin-associated linker protein	COG0448	ADP-glucose pyrophosphorylase	FALSE
491	PC_00001304	genome_2	K05379	cpeD; phycoerythrin-associated linker protein	COG0237	Dephospho-CoA kinase	FALSE
492	PC_00001221	genome_2	K05378	cpeC; phycoerythrin-associated linker protein	NA	NA	FALSE
493	PC_00001205	genome_2	NA	NA	COG1357	Uncharacterized protein YjbI, contains pentapeptide repeats	FALSE
494	PC_00000552	genome_2	K02290	cpcG; phycobilisome rod-core linker protein	COG0448	ADP-glucose pyrophosphorylase	FALSE
495	PC_00002202	genome_2	K02286	cpcC; phycocyanin-associated rod linker protein	NA	NA	FALSE
496	PC_00005489	genome_2	NA	NA	NA	NA	FALSE
497	PC_00002494	genome_2	NA	NA	NA	NA	FALSE
498	PC_00003360	genome_2	NA	NA	NA	NA	FALSE
